ISIL;ILN;ELN;Bibliothek;Anschrift;PLZ;Ort;Bundesland;Land;Lat;Long;Website;OPAC
;0001;1999;GBV/VZG;;;;;;;;;
DE-1a;0011;0001;Staatsbibliothek zu Berlin - PreuÃŸischer Kulturbesitz, Haus Potsdamer StraÃŸe;Potsdamer Str. 33;10785;Berlin;Berlin;DE;52.50771;13.37063;http://www.staatsbibliothek-berlin.de;http://stabikat.de
;0019;2004;ZDB;;;;;;;;;
;0019;2012;GND;;;;;;;;;
;0019;2014;Basisklassifikation;;;;;;;;;
;0019;2015;IKAR;;;;;;;;;
;0019;2028;VD17;;;;;;;;;
;0019;2034;VD16;;;;;;;;;
;0019;2049;VD18;;;;;;;;;
DE-84;0020;0084;Universitätsbibliothek Braunschweig;Universitätsplatz 1;38106;Braunschweig;Niedersachsen;DE;52.27371;10.52915;http://www.ub.tu-braunschweig.de;http://ub.tu-braunschweig.de/katalog/
DE-46;0021;0046;Staats- und Universitätsbibliothek Bremen;Bibliothekstr. 9;28359;Bremen;Bremen;DE;53.10816;8.85387;http://www.suub.uni-bremen.de;http://ub.tu-braunschweig.de/katalog/
DE-18;0022;0018;Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky;Von-Melle-Park 3;20146;Hamburg;Hamburg;DE;53.56486;9.98519;http://www.sub.uni-hamburg.de;https://katalogplus.sub.uni-hamburg.de/vufind/
;0022;0018/0006;Universität Hamburg, Institut für Angewandte Botanik;;;;;;;;;
;0022;0018/0008;Universität Hamburg, Geographische Gesellschaft;;;;;;;;;
;0022;0018/0012;Universität Hamburg, Institut für Romanistik, Französisch-Italienische Abteilung;;;;;;;;;
DE-18-15;0022;0018/0015;Hamburger Sternwarte am Fachbereich Physik der Universität Hamburg, Fachbibliothek Astronomie und Astrophysik;Gojenbergsweg 112;21029;Hamburg;Hamburg;DE;53.48060;10.24077;http://www.sub.uni-hamburg.de;https://katalogplus.sub.uni-hamburg.de/vufind/
DE-18-19;0022;0018/0019;Universität Hamburg, Fachbereichsbibliothek Biologie, Standort Grindel;Martin-Luther-King-Platz 3;20146;Hamburg;Hamburg;DE;53.56759;9.97924;http://www.sub.uni-hamburg.de;https://katalogplus.sub.uni-hamburg.de/vufind/
DE-18-21;0022;0018/0021;früher: Universität Hamburg, Institut für Germanistik I, Bibliothek;Martin-Luther-King-Platz 3;20146;Hamburg;Hamburg;DE;53.56759;9.97924;http://www.sub.uni-hamburg.de;https://katalogplus.sub.uni-hamburg.de/vufind/
DE-18-24;0022;0018/0024;Universität Hamburg, Bibliothek des Instituts für Geologie;Bundesstr. 55;20146;Hamburg;Hamburg;DE;53.56812;9.97436;https://www.geo.uni-hamburg.de/de/geologie/bibliothek.html;https://katalogplus.sub.uni-hamburg.de/vufind/
DE-18-39;0022;0018/0039;früher: Universität Hamburg, Institut für Anglistik und Amerikanistik, Bibliothek;Bundesstr. 55;20146;Hamburg;Hamburg;DE;53.56812;9.97436;https://www.geo.uni-hamburg.de/de/geologie/bibliothek.html;https://katalogplus.sub.uni-hamburg.de/vufind/
;0022;0018/0045;Universität Hamburg, Philosophisches Seminar;;;;;;;;;
DE-18-47;0022;0018/0047;Universität Hamburg, Physikalische Institute Jungiusstraße, Bibliothek;Jungiusstr. 9;20355;Hamburg;Hamburg;DE;53.55878;9.98156;http://www.physnet.uni-hamburg.de/services/bibliothek.htm;https://katalogplus.sub.uni-hamburg.de/vufind/
DE-18-48;0022;0018/0048;Fachbereich Chemie der Universität Hamburg, Bibliothek;Martin-Luther-King-Pl. 6;20146;Hamburg;Hamburg;DE;53.56810;9.97873;http://www.physnet.uni-hamburg.de/services/bibliothek.htm;https://katalogplus.sub.uni-hamburg.de/vufind/
;0022;0018/0053;Universität Hamburg, Institut für Alte Geschichte;;;;;;;;;
;0022;0018/0054;Universität Hamburg, Institut für Griechisch, Latein Philologie;;;;;;;;;
;0022;0018/0055;Universität Hamburg, Asien Afrika Institut;;;;;;;;;
DE-18-57;0022;0018/0057;Universität Hamburg, Institut für Geographie, Bibliothek;Bundesstr. 55;20146;Hamburg;Hamburg;DE;53.56809;9.97396;http://www.physnet.uni-hamburg.de/services/bibliothek.htm;https://katalogplus.sub.uni-hamburg.de/vufind/
DE-18-59;0022;0018/0059;früher: Universität Hamburg, Institut für Slavistik, Bibliothek;Bundesstr. 55;20146;Hamburg;Hamburg;DE;53.56809;9.97396;http://www.physnet.uni-hamburg.de/services/bibliothek.htm;https://katalogplus.sub.uni-hamburg.de/vufind/
;0022;0018/0060;Universität Hamburg, Historisches Seminar;;;;;;;;;
