placeName;getty;gnd;long;lat;comment
Aabenraa;7003423;; 9.4333;55.0500;
Aachen;;4000003-5;+006.083333;+050.776388;
Aarau;7007266;;8.0667;47.4;
Aarhus;7003442;;10.2167;56.1667;
Abano Terme;;4359172-3;+011.791410;+045.360990;
Abbeville;;4383593-4;+001.833329;+050.100000;
Abensberg;;4084641-6;+011.849722;+048.816666;
Aberdeen;;4079606-1;-002.098139;+057.143689;
Agen;;4079641-3;+000.633330;+044.200000;
Aix-en-Provence;7010786;;5.45;43.5167;
Alcalá de Henares;7007139;;-3.3667;40.4667;
Alexandria;;4001138-0;+029.955269;+031.215640;
Alfdorf;;4301693-5;+009.718569;+048.843850;
Alkmaar;7007057;4243503-1;4.7333;52.6333;
Allendorf (Landkreis Saalfeld-Rudolstadt);;7583699-3;+011.158055;+050.654722;
Alsfeld;;4001366-2;+009.270820;+050.751849;
Altdorf;1038166;4001388-1;11.3667;49.3833;
Altena (Westf.);;4001401-0;+007.673359;+051.294719;
Altenburg;7012790;;12.45;50.9833;
Altenburg (Thüringen);7012790;4001409-5;12.45;50.9833;
Altenhof;7059988;;10.8833;50.2500;
Altmühlmünster;7024685;;11.6167;48.9833;
Altona;7012310;;9.9333;53.55;
Amberg;7063202;4001632-8;10.6833;48.0667;
Amiens;;4085690-2;+002.299999;+049.899999;
Amsterdam;7006952;4001783-7;4.9;52.35;
Andernach;;4001919-6;+007.404166;+050.430833;
Angers;7008480;4002024-1;-.5333;47.4833;
Annaberg (Erzgebirge);;4002113-0;+013.005000;+050.578611;
Annaberg-Buchholz;7012791;;13;50.5667;
Ansbach;7004459;4002170-1;10.55;49.3;
Antwerpen;7007856;4002364-3;4.4167;51.2167;
Arezzo;;4002888-4;+011.876910;+043.461390;
Arles;7008775;;4.6333;43.6833;
Armsfeld;;4638262-8;+009.064080;+051.052599;
Arnheim;7006876;4002980-3;5.8833;52;
Arnsberg;7004440;;8.05;51.3833;
Arnstadt;7012792;4003011-8;10.95;50.8333;
Arpino;;4427172-4;+013.608810;+041.647419;
Arras;;4085976-9;+002.781860;+050.293010;
Aschaffenburg;7004322;;9.15;49.9833;
Aschersleben;1036362;4086015-2;11.4667;51.75;
Aschersleben-Mehringen;;7727905-0;+011.512639;+051.726630;
Athen;;4003366-1;+023.716219;+037.979449;
Attendorn;;4003450-1;+007.903330;+051.126449;
Augsburg;7004324;4003614-5;10.9;48.35;
Aurich;;4003660-1;+007.482319;+053.469189;
Aurich;1038265;;7.4833;53.4667;
Aurillac;;4079875-6;+002.450000;+044.916670;
Auvers-sur-Oise;7008030;;2.1667;49.0833;
Avignon;7008799;4004019-7;4.8;43.9333;
Bacharach;7005110;;7.7667;50.0667;
Bad Bentheim;7012362;;7.1667;52.3167;
Bad Bergzabern;;4087278-6;+008.200000;+049.102449;
Bad Hersfeld;7012967;4024607-3;9.7167;50.8833;
Bad Kreuznach;7012371;;7.8667;49.85;
Bad Königshofen i. Grabfeld;;4098660-3;+010.468611;+050.300555;
Bad Langensalza;;4034508-7;+010.645833;+051.107500;
Bad Liebenwerda;;4099622-0;+013.394590;+051.518259;
Bad Sassendorf;1038376;;8.15;51.5833;
Bad Staffelstein;;4056831-3;+011.001279;+050.101990;
Bad Wimpfen;;4066247-0;+009.156480;+049.229709;
Bad Windsheim;7012382;;10.45;49.5;
Baden (Aargau);7007314;;8.3167;47.4667;
Bamberg;7004325;4004391-5;10.9;49.9;
Bardejov;;4004566-3;+021.272710;+049.291750;
Barenton;;4337968-0;-000.832580;+048.600270;
Bartfeld;7011355;;21.25;49.3;
Barth;1036417;;12.7333;54.3833;
Basel;7007269;4004617-5;7.6;47.55;
Bassiano;;4827634-0;+013.031890;+041.550420;
Battenberg (Eder);;4086894-1;+008.646029;+051.013910;
Bautzen;7012305;4004968-1;14.4833;51.1833;
Bayreuth;;4005056-7;+011.578888;+049.947777;
Bayreuth;7004326;;11.5833;49.45;
Beauvais;;4086997-0;+002.083330;+049.433329;
Bergamo;7005025;4005611-9;9.6667;45.7;
Berlin;7003712;4005728-8;13.4167;52.5333;
Bern;7007556;4005762-8;16.4833;50.25;
Bernburg;1036449;4005774-4;+011.740100;+051.794640;
Besançon;7008356;;6.0333;47.2333;
Beuthen;7007626;;18.9667;50.35;
Bevern;1038508;;9.5;51.8667;
Beyerberg;;4739999-5;+010.505280;+049.112639;
Białogard;1048920;;16;54;
Biberach an der Riß;;4006424-4;+009.783333;+048.100000;
Biel;;;;;
Bielefeld;7005978;4006510-8;8.5333;52.0333;
Bietigheim;1038522;;8.25;48.9167;
Bietigheim-Bissingen;7012397;4006554-6;+009.117549;+048.944070;
Blaenau Ffestiniog;1064586;;-3.9333;52.9833;
Blankenburg;7012401;4007014-1;10.9667;51.8;
Blankenburg-Michaelstein;;4364611-6;+010.912639;+051.806489;
Bodenwerder;;4080445-8;+009.519310;+051.971559;
Bologna;7003127;4007616-7;11.4333;44.4667;
Bonn;7005090;;7.1;50.7333;
Bonnefoi;7660618;;0.5643;48.6680;
Boppard;;4007708-1;+007.589920;+050.230849;
Bordeaux;;4088072-2;-000.580500;+044.840440;
Bourg-en-Bresse;;4246164-9;+005.225799;+046.205739;
Bozen;;4007901-6;+011.339722;+046.490555;
Brandenburg;7004462;;12.5667;52.4167;
Bratislava;7006465;;17.1667;48.1667;
Braunsberg;7007598;2049941-3;19.8333;54.4;
Braunschweig;7004434;4008065-1;10.5;52.25;
Breda;7006827;4234258-2;4.7667;51.5833;
Bregenz;7003116;;9.7667;47.5167;
Breisach am Rhein;7005968;4008109-6;+007.582939;+048.032789;
Bremen;;4008135-7;+008.833330;+053.083329;
Bremen;7005286;;8.8;53.0833;
Bremervörde;1038649;;9.15;53.4833;
Brescello;;4511776-7;+010.512290;+044.896569;
Brescia;;4008213-1;+010.227270;+045.524779;
Breslau;7007601;4008216-7;17;51.1;
Bretten;;4008223-4;+008.707449;+049.036850;
Brieg;;4008252-0;+017.467400;+050.860790;
Brindisi;;4080536-0;+017.936820;+040.627729;
Bristol;7011198;;-2.5833;51.45;
Brixen;7005433;;11.6667;46.7167;
Bruchsal;;4008388-3;+008.598039;+049.124259;
Brugg;8705042;;7.2760;47.1234;
Brugk;7011825;;16.0667;48.8667;
Brzeg;7007623;;17.4667;50.35;
Brzeziny;;5299579-3;19.75144;51.80023;
Brügge;;4069688-1;+003.224240;+051.208919;
Brünn;7011840;;16.6667;49.2167;
Brüssel;7007868;4008460-7;4.3333;50.8333;
Bunzlau;;4088643-8;+015.569699;+051.264180;
Burghausen;;4009130-2;+012.831388;+048.169166;
Burgos;;4080584-0;-003.700000;+042.350000;
Butzbach;;4009241-0;+008.671219;+050.433950;
Byczyna;1048958;;18.1667;51.1167;
Böblingen;;4007430-4;+009.029550;+048.684950;
Böhmisch-Leipa;;4315195-4;+014.537639;+050.685510;
Bückeburg;;4008715-3;+009.049390;+052.260649;
Büdingen;1038289;;9.1167;50.2833;
Büren;;4411255-5;7.97659;52.30596;
Bützow;;4227578-7;+011.982559;+053.848320;
Caen;7008209;4009282-3;-.3667;49.1833;
Caesarea Maritima;;4088936-1;+034.904589;+032.518880;
Cambrai;7008456;;3.2333;50.1667;
Cambridge;7010874;;.1167;52.2;
Cambridge;7013527;;-71.1;42.3667;
Canterbury;7012044;;1.0833;51.2833;
Capestrano;;4689361-1;+013.765800;+042.268439;
Cardiff;7008742;;-3.2167;51.5;
Cartagena;;4197667-8;-000.986230;+037.605119;
Casale Monferrato;7003924;;8.45;45.1333;
Castelo Branco;;4433734-6;-007.490870;+039.822189;
Celle;7005317;4009657-9;10.0833;52.6167;
Certaldo;;4085198-9;+011.040219;+043.547040;
Cesena;7004922;4085200-3;12.25;44.15;
Chassala;7004431;;9.5;51.3;
Chelmsford;7011848;;.4667;51.7333;
Chemnitz;7005951;4029702-0;12.9167;50.8333;
Chester;;4085244-1;-002.891890;+053.190500;
Chur;7007276;;9.5333;46.8667;
City of London;7011798;;-.0833;51.5167;
